UMLS code of SE,all proteins
C0033117,ADRA1A ADRA1A@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh CALM1 CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CYP2D6@inh DRD1@inh DRD2@inh DRD3@inh DRD4@inh HRH1 HRH1@inh HTR1A@inh HTR1E HTR2A@inh HTR6
C0030807,ACE ACE@inh
C0033117,ADRA1B ADRA1B@inh ADRA1D ADRA1D@inh ADRA2C@inh CHRM4@inh CHRM5@inh HTR1B@inh HTR1D@inh HTR1F HTR2C@inh HTR3A HTR5A HTR6@inh HTR7@inh KCNH2 KCNH2@inh PTAFR TBXA2R
C0080274,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B CYP2D6 CYP2D6@inh CYP3A4 HRH1@inh HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR6@inh HTR7 OPRK1 PTAFR SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0241934,ADRA1A ADRA1A@inh ADRA2A CHRM1 CHRM2 CYP2D6 CYP2D6@inh HRH1 HRH1@inh HTR1A HTR1A@act HTR2A HTR2A@inh HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0021177,ADRA1B ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C CYP2D6 CYP2D6@inh DRD1 DRD1@act DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1A HTR1A@act HTR1A@inh HTR1B HTR1D HTR1F HTR2A HTR2A@act HTR2A@inh HTR2B HTR2C HTR2C@act HTR2C@inh HTR7 PTAFR SLC6A4 SLC6A4@inh
C0234022,ADRA1A@inh ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh CHRM1 CYP2B6@inh CYP2D6 CYP2D6@inh CYP3A5 CYP3A7 HTR1A@inh HTR1D@inh HTR2A HTR2C HTR2C@inh HTR6 OPRK1 SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0011124,ADRA1A@inh ADRA1D@inh ADRA2A ADRA2A@inh CYP2D6 CYP3A4 HTR2A HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0021141,ADRA1A@inh ADRA2A@inh CYP2B6 CYP2B6@inh CYP2C19 CYP2D6 CYP2D6@inh HTR2A HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0030446,ADRA1A ADRA1A@inh ADRA2A CALM1 CALML3 CALN1 CHRM1 CHRM2 CHRM3 CHRM4 CHRM4@inh CHRM5 CHRM5@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HRH3 HRH4 HTR1A HTR1B HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7 SLC6A4
C0030662,ADRA2A ADRA2A@act ADRA2B ADRA2B@act ADRA2C ADRA2C@act DRD1 DRD1@act DRD2 DRD2@act DRD3 DRD3@act DRD4 DRD4@act DRD5 DRD5@act HTR1A HTR1A@act HTR1B HTR1B@act HTR1D HTR1D@act HTR2A HTR2A@act HTR2B HTR2B@act HTR2C HTR2C@act HTR7
C0028084,ADRA1A ADRA1A@inh ADRA1D@inh ADRA2A ADRA2A@inh ADRB1 CHRM1 CYP2D6 CYP2D6@inh DRD2 DRD2@act DRD3 DRD5 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1D HTR2A HTR2A@inh HTR2B HTR2C HTR7 SLC6A2 SLC6A2@inh SLC6A4 SLC6A4@inh
